Name,Website,Email,sent?
"Thompson, Ahern & Co. Limited",taco.ca,info@taco.ca,
Three (R's) Logistics Inc.,threerslogistics.ca,three.rs@rogers.com,
Thunder Global Logistics Inc.,Not applicable,info@thundergloballogistics.com,
TradeFlow Customs Solutions Inc.,tradeflow.ca,info@tradeflow.ca,
TradeNav Inc.,Not applicable,tradenavinc@gmail.com,
Traders Customs Brokerage Ltd.,traderscb.com,info@traderscb.com,
Tradestar International Corporation dba Tradestar,tradestarint.com,info@tradestarint.com,
Traffic Tech Inc.,traffictech.com,customs@traffictech.com,
Trans American Customs Brokers of Canada Ltd.,tacustoms.com,info@tacustoms.com,
Transpacific Customs Brokers,transpacific.ca,info@transpacific.ca,
Division of Transpacific International Services Inc.,,,
TRI-AD International Freight Forwarding Ltd.,tri-ad.ca,Not applicable,
Trillium Customs Brokers Inc.,trilliumcustomsbrokers.com/,imports@trilliumcustomsbrokers.com,
Triple Eagle,tripleeaglecanada.com,customs@tripleeaglelogistics.com,
Triumph Customs Brokerage Service Inc.,triumph.ca,Not applicable,
True North Customs Brokers Inc.,Not applicable,info@truenorthcb.com,
TurboClr International Limited,turboclr.com,info@turboclr.com,
Uclear Customs Inc.,uclearcustoms.com,info@uclearcustoms.com,
Umbrella Logistics Inc.,umbrellalogisticsinc.com,customs@umbrellalogisticsinc.com,
Unifar Customs Brokerage,unifarcustoms.com,customs@unifarcustoms.com,
United Parcel Service Canada Ltd.,ups.com,Not applicable,
Unity Global Customs Brokers Inc.,Not applicable,customs@unitybrokers.ca,
Universal Customs Services International Ltd.,cavalrylogistics.com,windsor@universallogistics.com,
Universal Logistics Inc.,universallogistics.ca,Not applicable,
UPS - SCS Inc.,ups.com/ca,upsmontreal-brokerage@ups.com,
O/A UPS Supply Chain Solutions,,upsscstoronto-brokerage@ups.com,
,,upsvancouver-brokerage@ups.com,
Utrade Inc. dba Utrade Logistics,utradelogistics.com,sj@utradelogistics.com,
Valueway Global Logistics Inc.,valueway.ca,broker@valueway.ca,
Vancouver Customs Brokers Ltd.,Not applicable,Ed@vcb.ca,
Vasanti Mistry dba 1T One Time Customs Broker,1tcustomsbroker.com,vasm@bell.net,
,,onetcustoms@gmail.com,
W Group Canada - Shipping & Logistics LTD. o/a W Group Canada,wlog-group.com,canada@wlog-group.com,
W.G. McKay Limited,wgmckay.com,support@wgmckay.com,
WAC Int'l Logistics (Canada) Ltd.,waclogistics.com ,csyyz@waclogistics.com,
Welke Customs Brokers Ltd.,welke.com,info@welke.com,
William L. Rutherford (B.C.) Limited,rutherfordglobal.com,vancouver@rutherfordglobal.com,
William L. Rutherford Limited,Welcome to Rutherford Global Logistics,toronto@rutherfordglobal.com,
Willson International Limited,willsonintl.com,service@willsonintl.com,
Wiselink Customs Brokers Ltd.,wiselinkcustoms.com,info@wiselinkcustoms.com,
World Cargo & Shipping Inc. dba K Line Logistics,klinelogistics.ca,admin@klinelogistics.ca,
,,prabh@klinelogistics.ca,
xGlobl Inc.,Not applicable,info@xglobl.com,
YES Customs Brokerage Inc.,yes-express.com,customs@yesexp.com,
Yiming Zhang dba ING Customs Broker,Not applicable,ingcustomsbroker@gmail.com,
Yusen Logistics,yusen-logistics.com,yca.yyz@ca.yusen-logistics.com,
,,jim.mcewan@ca.yusen-logistics.com,
Zheng Yao oa Eastern Star TradeSimple Solutions,Not applicable,EasternStarTSS@dynalinkintl.com,
